iter	RMSE
0	130.0675129
1	126.682991
2	123.1756084
3	119.9578395
4	117.1247198
5	113.9526638
6	111.115391
7	108.5560375
8	106.2461806
9	103.8815467
10	101.5137914
11	99.21991722
12	97.01823935
13	94.95622951
14	92.95746419
15	90.98995978
16	89.17608632
17	87.25051147
18	85.40461439
19	83.5512176
20	82.0857042
21	80.4517933
22	78.8230687
23	77.29749891
24	76.13160777
25	74.70736318
26	73.55748236
27	72.25533902
28	70.92207006
29	69.67943631
30	68.39521906
31	67.25813348
32	66.18497841
33	65.07865465
34	63.86315575
35	63.11124137
36	62.10128563
37	61.17223714
38	60.27182419
39	59.55204499
40	58.6427101
41	57.76955633
42	57.00119218
43	56.12260449
44	55.32752152
45	54.51196276
46	53.68431712
47	52.96616394
48	52.29557308
49	51.49206853
50	50.75118682
51	49.94848724
52	49.29108784
53	48.57038215
54	47.88108374
55	47.2651022
56	46.53478825
57	45.94062947
58	45.3655987
59	44.74967205
60	44.13556584
61	43.53088754
62	42.9793732
63	42.50517548
64	41.95777486
65	41.37004819
66	40.80751593
67	40.35934139
68	39.81802935
69	39.36095887
70	38.90118948
71	38.57134725
72	38.04553805
73	37.59747898
74	37.22102813
75	36.758674
76	36.29163968
77	35.89258505
78	35.53122167
79	35.14856659
80	34.65702335
81	34.24114815
82	33.92140233
83	33.57079928
84	33.2124161
85	32.78712462
86	32.45534621
87	32.06270541
88	31.73175656
89	31.40998654
90	31.09907046
91	30.76819545
92	30.4631475
93	30.10119376
94	29.78465261
95	29.50040118
96	29.23112706
97	28.91768462
98	28.62176729
99	28.30931245
100	28.06025223
101	27.79486459
102	27.52556817
103	27.24627423
104	27.00783037
105	26.77241145
106	26.50850703
107	26.25014565
108	25.98132807
109	25.71835701
110	25.46551367
111	25.22002826
112	24.97683889
113	24.71874543
114	24.4684218
115	24.21094653
116	23.95425066
117	23.7257418
118	23.53126627
119	23.23471132
120	23.0090455
121	22.77793531
122	22.57474486
123	22.32969673
124	22.09021049
125	21.87007332
126	21.68954443
127	21.50191943
128	21.28220869
129	21.08348342
