iter	RMSE
130	20.88399642
131	20.68373944
132	20.49257358
133	20.33616329
134	20.14971386
135	19.99191444
136	19.82480515
137	19.62999447
138	19.47221862
139	19.31450232
140	19.15979274
141	19.00199642
142	18.84041885
143	18.66431254
144	18.54211035
145	18.39274745
146	18.21860173
147	18.05234847
148	17.90578227
149	17.77294593
150	17.63553804
151	17.4732113
152	17.33550686
153	17.19926524
154	17.04750841
155	16.90174862
156	16.75567858
157	16.62044498
158	16.49875539
159	16.35419879
160	16.24965406
161	16.12797107
162	15.99586587
163	15.87851102
164	15.76711247
165	15.64930523
166	15.53720955
167	15.42237326
168	15.31919733
169	15.21529876
170	15.09967618
171	14.99221166
172	14.87926212
173	14.781346
174	14.67316512
175	14.54954817
176	14.45103127
177	14.3479683
178	14.24948797
179	14.16639631
180	14.07223225
181	13.98790106
182	13.8930238
183	13.8112287
184	13.71337249
185	13.61431609
186	13.52424089
187	13.44256351
188	13.37201604
189	13.27161058
190	13.18686316
191	13.10290989
192	13.02129645
193	12.9522462
194	12.85973002
195	12.78646894
196	12.70483986
197	12.64199746
198	12.55199679
199	12.48691337
200	12.40172916
201	12.32687594
202	12.24337521
203	12.18069068
204	12.10411987
205	12.04211521
206	11.97732974
207	11.90864988
208	11.82651016
209	11.76239087
210	11.6847004
211	11.62117464
212	11.55068468
213	11.49288167
214	11.41917577
215	11.36470318
216	11.30767727
217	11.24895371
218	11.18650443
219	11.13987396
220	11.0704758
221	11.0057499
222	10.95777815
223	10.9006956
224	10.83299838
225	10.77356392
226	10.72237247
227	10.67205345
228	10.62487705
229	10.5714021
230	10.51424264
231	10.46405436
232	10.43375122
233	10.3973968
234	10.3649277
235	10.29933807
236	10.25717831
237	10.21238035
238	10.17466811
239	10.14561513
240	10.10543207
241	10.0512006
242	10.0184953
243	9.971425669
244	9.900760152
245	9.839020555
246	9.817044486
247	9.788812396
248	9.742990425
249	9.700975519
250	9.662544765
251	9.638568231
252	9.602935197
253	9.55098086
254	9.522817525
255	9.493335494
256	9.44835164
257	9.425118049
258	9.383661484
259	9.327138492
260	9.29193159
261	9.264269246
262	9.235439125
263	9.192137121
264	9.16523433
265	9.123525566
266	9.103729738
267	9.063294892
268	9.043112006
269	8.992827661
270	8.958560221
271	8.901168439
272	8.851205321
273	8.814648669
274	8.779190738
275	8.744883365
276	8.716568475
277	8.685130053
278	8.664223618
279	8.634004679
280	8.601149734
281	8.579817955
282	8.556421098
283	8.517361513
284	8.48528418
285	8.458496093
286	8.441555519
287	8.425713017
288	8.390403971
289	8.371721624
290	8.325094296
291	8.309060849
292	8.289180963
293	8.246104554
294	8.216372884
295	8.201656696
296	8.177048682
297	8.147296264
298	8.131602263
299	8.09614817
300	8.082226936
301	8.044299223
302	8.023355433
303	7.990470904
304	7.959717909
305	7.948098372
306	7.934300524
307	7.923560725
308	7.913331073
309	7.871110543
310	7.851244726
311	7.825264495
312	7.799029559
313	7.75659637
314	7.728796823
315	7.696348898
316	7.666376291
317	7.646942846
318	7.616748613
319	7.580421137
320	7.568094448
321	7.53481572
322	7.511878147
323	7.482154345
324	7.463042395
325	7.443646361
326	7.415852229
327	7.389910915
328	7.369306223
329	7.330621225
330	7.301075123
331	7.2668667
332	7.235935968
333	7.214803688
334	7.19037714
335	7.162179033
336	7.127813536
337	7.106366119
338	7.09504772
339	7.071963728
340	7.047897006
341	7.025385587
342	7.003179833
343	6.975368934
344	6.956609335
345	6.947735531
346	6.932579616
347	6.910753443
348	6.883750467
349	6.871087167
350	6.858626653
351	6.829188571
352	6.796897429
353	6.765825468
354	6.745609824
355	6.718519684
356	6.700771638
357	6.679508251
358	6.667498975
359	6.647328664
360	6.619026421
361	6.610126884
362	6.585146518
363	6.577193789
364	6.548961694
365	6.533953079
366	6.528525336
367	6.521610859
368	6.495245966
369	6.487951412
370	6.458732574
371	6.442809199
372	6.423485569
373	6.409433165
374	6.389977138
375	6.371967739
376	6.365861852
377	6.347535045
378	6.320294268
379	6.314436527
380	6.308240701
381	6.293013919
382	6.280421688
383	6.254967407
384	6.225479498
385	6.206496575
386	6.195331358
387	6.174972565
388	6.150531983
389	6.143491833
390	6.121166345
391	6.116343948
392	6.111159774
393	6.106398251
394	6.080883864
395	6.062078451
396	6.042081261
397	6.037249116
398	6.032520324
399	6.024907499
400	6.020589154
401	6.014312188
402	6.004018788
403	5.981331816
404	5.954715774
405	5.935888169
406	5.916501391
407	5.901094283
408	5.877803451
409	5.859850381
410	5.838217637
411	5.834317717
412	5.815079176
413	5.810926695
414	5.799790595
415	5.789135183
416	5.771515776
417	5.753807555
418	5.730915647
419	5.719935732
420	5.708936705
421	5.698863901
422	5.688550683
423	5.677119549
424	5.660677821
425	5.650050344
426	5.64504039
427	5.641064999
428	5.635930269
429	5.622497313
430	5.617860436
431	5.6085438
432	5.589141577
433	5.583165519
434	5.570363886
435	5.566720347
436	5.563643891
437	5.547709165
438	5.533842152
439	5.529704608
440	5.50593721
441	5.491807657
442	5.489380477
443	5.476280504
444	5.465595884
445	5.451549015
446	5.43176503
447	5.422357817
448	5.408244864
449	5.391447481
450	5.38808573
451	5.376446658
452	5.364333498
453	5.351031304
454	5.340569603
455	5.328008718
456	5.325353714
457	5.310292
458	5.292748788
459	5.286866963
460	5.284412826
461	5.282113573
462	5.265840196
463	5.263450459
464	5.257800032
465	5.255555076
466	5.239807397
467	5.222200121
468	5.208111092
469	5.205354673
470	5.195662135
471	5.171538686
472	5.158166156
473	5.139061465
474	5.127091275
475	5.118728834
476	5.107984781
477	5.094479421
478	5.092350165
479	5.088678282
480	5.072583308
481	5.057344681
482	5.047198339
483	5.033590246
484	5.030107651
485	5.016802459
486	5.000752699
487	4.98793862
488	4.981838459
489	4.968660175
490	4.955225798
491	4.940935717
492	4.932270903
493	4.928566362
494	4.919233785
495	4.902944012
496	4.894005328
497	4.88086352
498	4.872407776
499	4.86928348
