actual_price,predicted_price,residual_log,anomaly_label
4871999.999999935,541182.9876931375,2.197500705457232,Overpriced
4871999.999999935,567029.2483423409,2.1508473642929626,Overpriced
1500000.0,177942.04515824275,2.1317575256874175,Overpriced
1600000.0,193932.7730560441,2.1102428084461735,Overpriced
4000000.0,972671.191056383,1.4140027700704856,Overpriced
1000000.0,266992.5944993167,1.3205316115084305,Overpriced
4871999.999999935,1311183.5512637093,1.312573769419675,Overpriced
3000000.0,844015.4484215952,1.26819591792629,Overpriced
750000.0,231770.55705260846,1.174322321177062,Overpriced
600000.0,192203.06202888934,1.1383736911830802,Overpriced
300000.0,97342.99758797773,1.125534736125486,Overpriced
900000.0,303287.7420439687,1.0877105786488546,Overpriced
4871999.999999935,1686548.221706239,1.0608201748546549,Overpriced
1350000.0,476872.907430189,1.040608501239987,Overpriced
500000.0,177153.0722608488,1.0375902797305354,Overpriced
300000.0,109794.32985237609,1.0051678130337294,Overpriced
600000.0,222261.423574221,0.9930725499530997,Overpriced
850000.0,315672.6613735541,0.9905285631594403,Overpriced
800000.0,299747.7767124486,0.9816682647938766,Overpriced
999999.0,380522.5882630094,0.966207110795013,Overpriced
300000.0,114337.94420190851,0.9646185760380082,Overpriced
400000.0,154663.7617427602,0.9502070999409185,Overpriced
1415000.0,557673.005461011,0.9311109447362504,Overpriced
1415000.0,557673.005461011,0.9311109447362504,Overpriced
450000.0,179983.4337160109,0.916379437188958,Overpriced
850000.0,340512.06100779877,0.9147840427808269,Overpriced
385000.0,155003.5599862384,0.9097913959344464,Overpriced
1040000.0,419818.67841810395,0.907151671687318,Overpriced
400000.0,161717.1262817178,0.9056121885871526,Overpriced
310000.0,126236.45819894921,0.8984108010580378,Overpriced
250000.0,103668.55964470762,0.8802563881919134,Overpriced
700000.0,291872.1260335401,0.8747625556530956,Overpriced
300000.0,125778.10950808799,0.869258538651291,Overpriced
400000.0,168531.53810552918,0.8643382114708587,Overpriced
250000.0,106101.75530147807,0.8570569036602969,Overpriced
675000.0,286562.26905468095,0.8567548261816533,Overpriced
4871999.999999935,2088041.6977001838,0.8472776167606391,Overpriced
250000.0,107145.45950325853,0.8472682389139976,Overpriced
350000.0,151155.7614868464,0.8396185577760722,Overpriced
490000.0,212514.73862264203,0.8353913821905046,Overpriced
290000.0,127687.74093205325,0.8202887802113263,Overpriced
250000.0,110132.32237068865,0.8197732644152893,Overpriced
800000.0,354760.527137933,0.8131671684609412,Overpriced
400000.0,177536.32459488822,0.8122861808871811,Overpriced
2100000.0,940094.3977183385,0.8037117428528759,Overpriced
250000.0,112323.15020426127,0.8000760284351092,Overpriced
1100000.0,496480.9958751657,0.7955191471334739,Overpriced
250000.0,113050.41995580333,0.793622158786297,Overpriced
350000.0,159124.54587736336,0.7882425242565123,Overpriced
4750000.0,2161580.165390723,0.7873048536592488,Overpriced
